,name,disc,college
641,Surveying,Civil Engineering,IIT Kanpur
642,Project Planning & Control(Course sponsored by Aricent),Civil Engineering,IIT Madras
643,Applied Environmental Microbiology,Civil Engineering,IIT Roorkee
644,Water and Waste Water Engineering,Civil Engineering,IIT Kanpur
645,Digital elevation models and applications,Civil Engineering,IIT Roorkee
646,Water Resources Engineering,Civil Engineering,IIT Kanpur
647,Structural Dynamics,Civil Engineering,IIT Hyderabad
648,Environmental Chemistry,Civil Engineering,IIT Roorkee
649,Introduction to Engineering Seismology,Civil Engineering,IISc Bangalore
650,Environmental Remediation of Contaminated Sites,Civil Engineering,IIT Roorkee
651,Probability Methods in Civil Engineering,Civil Engineering,IIT Kharagpur
652,Construction Planning and Management,Civil Engineering,IIT Guwahati
653,Fluid Mechanics,Civil Engineering,IIT Guwahati
654,Hydraulics,Civil Engineering,IIT Guwahati
655,Soil Mechanics,Civil Engineering,IIT Guwahati
656,Global Navigation Satellite Systems And Applications,Civil Engineering,IIT Roorkee
657,Mechanics of Materials,Civil Engineering,IIT Madras
658,Probability Methods in Civil Engineering,Civil Engineering,IIT Kharagpur
659,Parallel Algorithms,Computer Science and  Engineering,IIT Madras
660,Compiler Design,Computer Science and  Engineering,IIT Kanpur
661,Computer Organisation and Architecture,Computer Science and  Engineering,IIT Kanpur
662,Introduction to Problem Solving and Programming,Computer Science and  Engineering,IIT Kanpur
663,Artificial Intelligence: Search Methods for Problem Solving,Computer Science and  Engineering,IIT Madras
664,"Programming, Data Structures and Algorithms",Computer Science and  Engineering,IIT Madras
665,Natural Language Processing,Computer Science and  Engineering,IIT Bombay
666,Introduction to Information Security  I,Computer Science and  Engineering,IIT Madras
667,Programming and Data structures (PDS),Computer Science and  Engineering,IIT Madras
668,Design and Analysis of Algorithms,Computer Science and  Engineering,IIT Madras
669,Introduction to Cryptology,Computer Science and  Engineering,IIT Roorkee
670,"2016: Programming, Data structures and Algorithms",Computer Science and  Engineering,IIT Madras
671,Computer Architecture(Course sponsored by Aricent),Computer Science and  Engineering,IIT Madras
672,Model Checking,Computer Science and  Engineering,IIT Madras
673,Introduction To Haskell Programming,Computer Science and  Engineering,IIT Madras
674,Virtual Reality,Computer Science and  Engineering,IIT Madras
675,Introduction to Machine Learning(Course sponsored by Aricent),Computer Science and  Engineering,IIT Madras
676,Computer Organization and Architecture,Computer Science and  Engineering,IIT Guwahati
677,Artificial Intelligence: Knowledge Representation and Reasoning ,Computer Science and  Engineering,IIT Madras
678,Data Structures and Program Methodology,Computer Science and  Engineering,IIT Guwahati
679,Information Security - II(Course sponsored by Aricent),Computer Science and  Engineering,IIT Madras
680,Theory of Automata and Formal Languages,Computer Science and  Engineering,IIT Guwahati
681,Algorithms for Big Data,Computer Science and  Engineering,IIT Madras
682,Reinforcement Learning,Computer Science and  Engineering,IIT Madras
683,Introduction to Operating Systems,Computer Science and  Engineering,IIT Madras
684,"Programming, Data Structures and Algorithms using Python",Computer Science and  Engineering,IIT Madras
685,Privacy and Security in Online Social Media,Computer Science and  Engineering,IIT Delhi
686,Mobile Computing,Computer Science and  Engineering,IIT Madras
687,Introduction to Modern Application Development,Computer Science and  Engineering,IIT Madras
688,Information Security-3,Computer Science and  Engineering,IIT Madras
689,AI:Constraint Satisfaction,Computer Science and  Engineering,IIT Madras
690,Computer Architecture,Computer Science and  Engineering,IIT Delhi
691,Computer Graphics,Computer Science and  Engineering,IIT Delhi
692,Data Structures And Algorithms,Computer Science and  Engineering,IIT Delhi
693,Introduction to Computer Graphics,Computer Science and  Engineering,IIT Delhi
694,Introduction to Problem Solving and Programming,Computer Science and  Engineering,IIT Delhi
695,Principles of Programming Languages,Computer Science and  Engineering,IIT Delhi
696,Riemann Hypothesis and its Applications,Computer Science and  Engineering,IIT Kanpur
697,Computer Organization and Architecture,Computer Science and  Engineering,IIT Madras
698,Biometrics,Computer Science and  Engineering,IIT Kanpur
699,Parallel Algorithm,Computer Science and  Engineering,IIT Kanpur
700,Distributed Systems,Computer Science and  Engineering,IIT Patna
701,Social Networks,Computer Science and  Engineering,IIT Ropar
702,Computer Architecture,Computer Science and  Engineering,IIT Kanpur
703,Compiler Design,Computer Science and  Engineering,IIT Kanpur
704,Software Testing,Computer Science and  Engineering,IIT Kharagpur
705,Programming in C++,Computer Science and  Engineering,IIT Kharagpur
706,Introduction to programming in C,Computer Science and  Engineering,IIT Kanpur
707,Introduction to Machine Learning,Computer Science and  Engineering,IIT Kharagpur
708,An Introduction to Probability in Computing,Computer Science and  Engineering,IIT Madras
709,Object-Oriented Analysis and Design,Computer Science and  Engineering,IIT Kharagpur
710,Introduction to Human Computer Interaction,Computer Science and  Engineering,IIT Madras
711,Complex Network : Theory and Application,Computer Science and  Engineering,IIT Kharagpur
712,Information security - IV,Computer Science and  Engineering,IIT Madras
713,Data Science for Engineers,Computer Science and  Engineering,IIT Madras
714,Discrete Mathematics _ IIITB,Computer Science and  Engineering,IIT Bangalore
715,Design and Analysis of Algorithms,Computer Science and  Engineering,IIT Bombay
716,Design and Analysis of Algorithms,Computer Science and  Engineering,IIT Bombay
717,Fundamental Algorithms:Design and Analysis,Computer Science and  Engineering,IIT Kharagpur
718,Secure Computation: Part I,Computer Science and  Engineering,IITB
719,Software Engineering,Computer Science and  Engineering,IIT Bombay
720,Natural Language Processing,Computer Science and  Engineering,IIT Kharagpur
721,The Joy of Computing using Python,Computer Science and  Engineering,IIT Ropar
722,Fundamentals of Database Systems(Course sponsored by Aricent),Computer Science and  Engineering,IIT Kanpur
723,Embedded Systems Design,Computer Science and  Engineering,IIT Kharagpur
724,Discrete Mathematics,Computer Science and  Engineering,IIT Ropar
725,Wireless Ad Hoc and Sensor Networks,Computer Science and  Engineering,IIT Kharagpur
726,Deep Learning- Part 1,Computer Science and  Engineering,IIT Ropar
727,VLSI Physical Design,Computer Science and  Engineering,IIT Kharagpur
728,Cryptography And Network Security,Computer Science and  Engineering,IIT Kharagpur
729,Human-Computer Interaction,Computer Science and  Engineering,IIT Guwahati
730,Computer architecture and organization,Computer Science and  Engineering,IIT Kharagpur
731,Design Verification and Test of Digital VLSI Circuits,Computer Science and  Engineering,IIT Guwahati
732,Introduction to algorithms and analysis,Computer Science and  Engineering,IIT Kharagpur
733,Hardware modeling using verilog,Computer Science and  Engineering,IIT Kharagpur
734,Secure Computation: Part II,Computer Science and  Engineering,IISc Bangalore
735,Introduction to internet of things,Computer Science and  Engineering,IIT Kharagpur
736,Cloud computing,Computer Science and  Engineering,IIT Kharagpur
737,Problem Solving through Programming in C,Computer Science and  Engineering,IIT Kharagpur
738,Theory of Computation,Computer Science and  Engineering,IIT Kanpur
739,Real Time Operating System,Computer Science and  Engineering,IIT Kharagpur
740,Data Analytics with Python,Computer Science and  Engineering,IIT Roorkee
741,Modern Algebra,Computer Science and  Engineering,IIT Kanpur
742,Introduction to Soft Computing,Computer Science and  Engineering,IIT Kharagpur
743,Foundations to Computer Systems Design,Computer Science and  Engineering,IIT Madras
744,Data Mining,Computer Science and  Engineering,IIT Kharagpur
745,Machine Learning for Engineering and Science Applications,Computer Science and  Engineering,IIT Madras
746,Data Base Management System,Computer Science and  Engineering,IIT Kharagpur
747,Information Security - 5 - Secure Systems Engineering,Computer Science and  Engineering,IIT Madras
748,Multimodal Interaction,Computer Science and  Engineering,IIT Madras
749,Deep Learning - Part 2,Computer Science and  Engineering,IIT Madras
750,"Machine Learning,ML",Computer Science and  Engineering,IIT Madras
751,Software Engineering,Computer Science and  Engineering,IIT Kharagpur
752,Computer Networks and Internet Protocol,Computer Science and  Engineering,IIT Kharagpur
753,Blockchain Architecture Design and Use Cases,Computer Science and  Engineering,IIT Kharagpur
754,Switching Circuits and Logic Design,Computer Science and  Engineering,IIT Kharagpur
755,Scalable Data Science,Computer Science and  Engineering,IIT Kharagpur
756,C Programming and Assembly Language,Computer Science and  Engineering,IIT Madras
757,Parallel Computing,Computer Science and  Engineering,IIT Delhi
758,Applied Natural Language Processing,Computer Science and  Engineering,IIT Madras
759,Python for Data Science,Computer Science and  Engineering,IIT Madras
760,Practical Machine Learning with Tensorflow,Computer Science and  Engineering,IIT Madras
761,Compiler Design,Computer Science and  Engineering,IIT Kharagpur
762,Programming in Java,Computer Science and  Engineering,IIT Kharagpur
763,Discrete Structures,Computer Science and  Engineering,IIT Kharagpur
764,Embedded System Design with ARM,Computer Science and  Engineering,IIT Kharagpur
765,Advanced Graph Theory,Computer Science and  Engineering,IIT Patna
766,Hardware Security,Computer Science and  Engineering,IIT Kharagpur
767,Introduction to Industry 4.0 and Industrial Internet of Things,Computer Science and  Engineering,IIT Kharagpur
768,"Introduction to Automata, Languages and Computation",Computer Science and  Engineering,IIT Kharagpur
769,Introduction to Database Systems,Computer Science and  Engineering,IIT Madras
770,Foundations of Cryptography,Computer Science and  Engineering,IIT Bangalore
771,Modern Application Development,Computer Science and  Engineering,IIT Madras
772,Deep Learning for Computer Vision,Computer Science and  Engineering,IIT Madras
773,Artificial Intelligence Search Methods For Problem Solving,Computer Science and  Engineering,IIT Madras
774,Operating Systems,Computer Science and  Engineering,IIT Delhi
775,Computational Complexity,Computer Science and  Engineering,IIT Hyderabad
776,Cloud Computing and Distributed Systems,Computer Science and  Engineering,IIT Patna
777,Parameterized Algorithms,Computer Science and  Engineering,"IIT Gandhinagar
IMSC"
778,Getting Started with Competitive Programming ,Computer Science and  Engineering,IIT Gandhinagar
779,Introduction to Quantum Computing: Quantum Algorithms and Qiskit,Computer Science and  Engineering,IITM
780,Systems and Usable Security,Computer Science and  Engineering,IIT Madras
781,Online Privacy,Computer Science and  Engineering,IIT Madras
782,Introduction to Machine Learning (Tamil),Computer Science and  Engineering,IIT Madras
783,Big Data Computing,Computer Science and  Engineering,IIT Patna
784,Compiler Design,Computer Science and  Engineering,IIT Madras
785,Operating System Fundamentals,Computer Science and  Engineering,IIT Kharagpur
786,Applied Accelerated Artificial Intelligence,Computer Science and  Engineering,IIT Madras
787,Deep Learning,Computer Science and  Engineering,IIT Kharagpur
788,Social Network Analysis,Computer Science and  Engineering,IIT Madras
789,Computer Vision,Computer Science and  Engineering,IIT Kharagpur
790,Ethical Hacking,Computer Science and  Engineering,IIT Kharagpur
791,Software Project Management,Computer Science and  Engineering,IIT Kharagpur
792,Spatial Innformatics,Computer Science and  Engineering,IIT Kharagpur
793,GPU Architectures and Programming,Computer Science and  Engineering,IIT Kharagpur
794,Google Cloud Computing Foundation Course ,Computer Science and  Engineering,IIT Kharagpur
795,"Object Oriented System Development using UML, Java and Patterns",Computer Science and  Engineering,IIT Kharagpur
796,Data Structure and algorithms using Java,Computer Science and  Engineering,IIT Kharagpur
797,Computer Organization and Architecture A Pedagogical Aspect,Computer Science and  Engineering,IIT Guwahati
798,Real-Time Systems,Computer Science and  Engineering,IIT Kharagpur
799,Computer Architecture,Computer Science and  Engineering,IIT Delhi
800,Embedded Systems-Design Verification and Test,Computer Science and  Engineering,IIT Guwahati
801,Algorithms for protein modelling and engineering,Computer Science and  Engineering,IIT Kharagpur
802,Multi-Core Computer Architecture-Storage and Interconnects,Computer Science and  Engineering,IIT Guwahati
803,Programming in Modern C++,Computer Science and  Engineering,IIT Kharagpur
804,Randomized Algorithms,Computer Science and  Engineering,IIT Guwahati
805,Blockchain and its Applications,Computer Science and  Engineering,IIT Kharagpur
806,Combinatorics,Computer Science and  Engineering,IISc Bangalore
807,Introduction to Parallel Programming in OpenMP,Computer Science and  Engineering,IIT Delhi
808,Parallel Algorithms,Computer Science and  Engineering,IIT Guwahati
809,Compiler Design,Computer Science and  Engineering,IISc Bangalore
810,Algorithmic Game Theory,Computer Science and  Engineering,IIT Kharagpur
811,Machine Learning for Earth System Sciences,Computer Science and  Engineering,IIT Kharagpur
812,Graph Theory,Computer Science and  Engineering,IISc Bangalore
813,Statistical learning for Reliability Analysis,Computer Science and  Engineering,IIT Kharagpur
814,High Performance Computing,Computer Science and  Engineering,IISc Bangalore
815,Numerical Optimization,Computer Science and  Engineering,IISc Bangalore
816,Bandit Algorithm (Online Machine Learning),Computer Science and  Engineering,IIT Bombay
817,Pattern Recognition,Computer Science and  Engineering,IISc Bangalore
818,Storage Systems,Computer Science and  Engineering,IISc Bangalore
819,Introduction to Blockchain Technology and Applications,Computer Science and  Engineering,IIT Kanpur
820,Arithmetic Circuit Complexity,Computer Science and  Engineering,IIT Kanpur
821,Computational Complexity Theory,Computer Science and  Engineering,IIT Kanpur
822,Randomized Methods in Complexity,Computer Science and  Engineering,IIT Kanpur
823,Discrete Mathematics,Computer Science and  Engineering,IIT Guwahati
824,Synthesis of Digital Systems,Computer Science and  Engineering,IIT Delhi
825,Advanced Computer Architecture,Computer Science and  Engineering,IIT Guwahati
826,Probability for Computer Science,Computer Science and  Engineering,IIT Kanpur
827,Software testing,Computer Science and  Engineering,IIT Bangalore
828,User-centric Computing for Human-Computer Interaction,Computer Science and  Engineering,IIT Guwahati
829,Computer Graphics,Computer Science and  Engineering,IIT Guwahati
830,C-Based VLSI Design,Computer Science and  Engineering,IIT Guwahati
831,Pattern Recognition,Computer Science and  Engineering,IIT Madras
832,Design and pedagogy of the introductory programming course,Computer Science and  Engineering,IIT Bombay
833,Performance Evaluation of Computer Systems,Computer Science and  Engineering,IIT Madras
834,"Theory of Automata, Formal Languages and Computation",Computer Science and  Engineering,IIT Madras
835,Data Communications,Computer Science and  Engineering,IISc Bangalore
836,Digital Systems,Computer Science and  Engineering,IISc Bangalore
837,Microprocessors and Microcontrollers,Computer Science and  Engineering,IISc Bangalore
838,Design & Implementation of Human-Computer Interfaces,Computer Science and  Engineering,IIT Guwahati
839,Operating Systems,Computer Science and  Engineering,IISc Bangalore
840,System Analysis and Design,Computer Science and  Engineering,IISc Bangalore
841,Cryptography and Network Security,Computer Science and  Engineering,IIT Kharagpur
842,System Analysis and Design,Computer Science and  Engineering,IISc Bangalore
843,Digital Image Processing,Computer Science and  Engineering,IIT Kharagpur
844,High Performance Computer Architecture,Computer Science and  Engineering,IIT Kharagpur
845,Low Power VLSI Circuits & Systems,Computer Science and  Engineering,IIT Kharagpur
846,Real Time Systems,Computer Science and  Engineering,IIT Kharagpur
847,An Introduction to Artificial Intelligence,Computer Science and  Engineering,IIT Delhi
848,Principles of Compiler Design,Computer Science and  Engineering,IISc Bangalore
849,Computer Algorithms - 2,Computer Science and  Engineering,IIT Kanpur
850,Indexing and Searching Techniques in Databases,Computer Science and  Engineering,IIT Kanpur
851,Advanced computer architecture,Computer Science and  Engineering,IIT Delhi
852,Parallel Computer Architecture,Computer Science and  Engineering,IIT Kanpur
853,An Introduction To Programming Through C++,Computer Science and  Engineering,IIT Bombay
854,Program Optimization for Multi-core Architectures,Computer Science and  Engineering,IIT Kanpur
855,Demystifying networking,Computer Science and  Engineering,IIT Bombay
856,Theory of Computation,Computer Science and  Engineering,IIT Kanpur
857,Advanced Distributed systems,Computer Science and  Engineering,IIT Delhi
858,Computational Number Theory & Cryptography,Computer Science and  Engineering,IIT Guwahati
859,VLSI Design Verification and Test,Computer Science and  Engineering,IIT Guwahati
860,CAD for VLSI Design I,Computer Science and  Engineering,IIT Madras
861,CAD for VLSI Design II,Computer Science and  Engineering,IIT Madras
862,Computer Graphics,Computer Science and  Engineering,IIT Madras
863,Computer Networks,Computer Science and  Engineering,IIT Madras
864,Computer Organization,Computer Science and  Engineering,IIT Madras
865,Database Design,Computer Science and  Engineering,IIT Madras
866,Discrete Mathematical Structures,Computer Science and  Engineering,IIT Madras
867,Introduction to Database Systems and Design,Computer Science and  Engineering,IIT Madras
868,Principles of Communication,Computer Science and  Engineering,IIT Madras
869,Design and Engineering of Computer Systems,Computer Science and  Engineering,IIT Bombay
870,Software Conceptual Design,Computer Science and  Engineering,IIT Bombay
871,Artificial Intelligence,Computer Science and  Engineering,IIT Kharagpur
872,Introduction to Game Theory and Mechanism Design,Computer Science and  Engineering,IIT Bombay
873,Artificial Intelligence,Computer Science and  Engineering,IIT Kharagpur
874,Introduction to Computer and Network Performance Analysis using Queuing Systems,Computer Science and  Engineering,IIT Bombay
875,Artificial Intelligence(Prof.P.Dasgupta),Computer Science and  Engineering,IIT Kharagpur
876,Computer Networks,Computer Science and  Engineering,IIT Kharagpur
877,Computer Networks,Computer Science and  Engineering,IIT Kharagpur
878,Data Communication,Computer Science and  Engineering,IIT Kharagpur
879,Electronic Design Automation,Computer Science and  Engineering,IIT Kharagpur
880,Distributed Computing Systems,Computer Science and  Engineering,IIT Madras
881,Computational Geometry,Computer Science and  Engineering,IIT Delhi
882,Internet Technology,Computer Science and  Engineering,IIT Kharagpur
883,Programming and Data Structure,Computer Science and  Engineering,IIT Kharagpur
884,Logic for CS,Computer Science and  Engineering,IIT Delhi
885,Real Time Systems,Computer Science and  Engineering,IIT Kharagpur
886,Software Engineering,Computer Science and  Engineering,IIT Kharagpur
887,Design fundamentals,Engineering Design,IIT Guwahati
888,Ergonomics for beginners: Industrial design perspective,Engineering Design,IIT Guwahati
889,Vehicle Dynamics,Engineering Design,IIT Madras
890,Control systems,Engineering Design,IIT Madras
891,Design for Manufacture and Assembly(DFMA),Engineering Design,IIT Guwahati
892,Fundamentals of Automotive Systems,Engineering Design,IIT Madras
893,Functional and Conceptual Design,Engineering Design,IIT Madras
894,Introduction to robotics,Engineering Design,IIT Madras
895,Geographic Information System,Engineering Design,IIT Kharagpur
896,Visual Communication,Engineering Design,IIT Bombay
897,Design Paradigm: Source Of Innovation & Invention,Engineering Design,IIT Kanpur
898,Design Philosophy & History,Engineering Design,IIT Kanpur
899,System Design for Sustainability,Engineering Design,IIT Guwahati
900,Product Design and Innovation,Engineering Design,IIT Guwahati
901,Interaction Design,Engineering Design,IIT Guwahati
902,Ergonomics In Automotive Design,Engineering Design,IIT Guwahati
903,Ergonomics Workplace Analysis,Engineering Design,IIT Guwahati
904,Innovation by Design,Engineering Design,IIT Bombay
905,Understanding Design,Engineering Design,IIT Bombay
906,"Design, Technology and Innovation",Engineering Design,IIT Bombay
907,Understanding Ethnography,Engineering Design,IIT Bombay
908,Understanding Incubation and Entrepreneurship,Engineering Design,IIT Bombay
909,Creative Engineering Design,Engineering Design,IISc Bangalore
910,Methodology for Design Research,Engineering Design,IISc Bangalore
911,Color in Design,Engineering Design,IIT Kanpur
912,Principles of Engineering System Design,Engineering Design,IIT Madras
913,Power Electronics,Electrical Engineering,IIT Delhi
914,Electrical Machines,Electrical Engineering,IIT Delhi
915,Power Electronics and Distributed Generation,Electrical Engineering,IISc Bangalore
916,Pulse width Modulation for Power Electronic Converters,Electrical Engineering,IISc Bangalore
917,Switched Mode Power Conversion,Electrical Engineering,IISc Bangalore
918,Fundamental of Power Electronics,Electrical Engineering,IISc Bangalore
919,Computer Vision and Image Processing - Fundamentals and Applications,Electrical Engineering,IIT Guwahati
920,System Design Through VERILOG,Electrical Engineering,IIT Guwahati
921,Special Electromechanical Systems,Electrical Engineering,IIT Delhi
922,"High Power Multilevel Converters- Analysis, design and operational issues",Electrical Engineering,IIT Delhi
923,Usability Engineering,Electrical Engineering,IIT Guwahati
924,Probability and Random Processes,Electrical Engineering,IIT Guwahati
925,Computer Aided Power System Analysis,Electrical Engineering,IIT Roorkee
926,Microprocessor,Electrical Engineering,IIT Roorkee
927,Introduction to Embedded System Design,Electrical Engineering,IIT Jammu
928,Power Quality,Electrical Engineering,IIT Delhi
929,Energy Management Systems and SCADA,Electrical Engineering,IIT Madras
930,Modelling and Analysis of Electric Machines,Electrical Engineering,IIT Madras
931,Nonlinear Control System,Electrical Engineering,IIT Madras
932,Introduction to Electrical Engineering,Electrical Engineering,IIT Delhi
933,Power Quality in Power Distribution Systems,Electrical Engineering,IIT Madras
934,Power System Stability and Control,Electrical Engineering,IIT Madras
935,Basic Electrical Technology,Electrical Engineering,IISc Bangalore
936,Industrial Drives - Power Electronics,Electrical Engineering,IISc Bangalore
937,Non-Conventional Energy Systems,Electrical Engineering,IISc Bangalore
938,Electrical Equipment and Machines: Finite Element Analysis,Electrical Engineering,IIT Bombay
939,Numerical Analysis,Electrical Engineering,IISc Bangalore
940,Digital Signal Processing and its Applications,Electrical Engineering,IIT Bombay
941,Introduction to Wireless and Cellular Communications,Electrical Engineering,IIT Madras
942,Electrical Machines -I,Electrical Engineering,IIT Kharagpur
943,Optimal Control,Electrical Engineering,IIT Kharagpur
944,Stochastic control and communication,Electrical Engineering,IIT Bombay
945,Design for internet of things,Electrical Engineering,IISc Bangalore
946,Advances in UHV Transmission and Distribution,Electrical Engineering,IISc Bangalore
947,Advanced Electric Drives,Electrical Engineering,IIT Kanpur
948,High Voltage DC Transmission,Electrical Engineering,IIT Kanpur
949,Mathematical Methods and Techniques in Signal Processing,Electrical Engineering,IISc Bangalore
950,Electronics Enclosures Thermal Issues,Electrical Engineering,IISc Bangalore
951,"Integrated Circuits, MOSFETs, Op-Amps and their Applications",Electrical Engineering,IISc Bangalore
952,Semiconductor Devices and Circuits,Electrical Engineering,IISc Bangalore
953,Fabrication Techniques for MEMs-based sensors : Clinical perspective,Electrical Engineering,IISc Bangalore
954,"Op-Amp Practical Applications: Design, Simulation and Implementation",Electrical Engineering,IISc Bangalore
955,Physical Modelling for Electronics Enclosures using Rapid prototyping,Electrical Engineering,IISc Bangalore
956,Analog ICs,Electrical Engineering,IIT Madras
957,Recent Advances in Transmission Insulators,Electrical Engineering,IISc Bangalore
958,Digital Integrated Circuits,Electrical Engineering,IIT Madras
959,Electrical Machines I,Electrical Engineering,IIT Madras
960,Electrical Machines II,Electrical Engineering,IIT Madras
961,Electromagnetic Fields,Electrical Engineering,IIT Madras
962,Industrial Instrumentation,Electrical Engineering,IIT Madras
963,Optimal control,Electrical Engineering,IIT Roorkee
964,Fundamentals of semiconductor devices,Electrical Engineering,IISc Bangalore
965,Networks and Systems,Electrical Engineering,IIT Madras
966,Advanced IOT Applications,Electrical Engineering,IISc Bangalore
967,Electronic Systems for Cancer Diagnosis,Electrical Engineering,IISc Bangalore
968,Basic Electrical Technology,Electrical Engineering,IIT Kharagpur
969,Electronic Modules for Industrial Applications using Op-Amps,Electrical Engineering,IISc Bangalore
970,"Chaos, Fractals & Dynamic Systems",Electrical Engineering,IIT Kharagpur
971,Advanced Control Systems,Electrical Engineering,IIT Guwahati
972,Digital Signal Processing,Electrical Engineering,IIT Kharagpur
973,Digital Control System,Electrical Engineering,IIT Guwahati
974,Dynamics of Physical Systems,Electrical Engineering,IIT Kharagpur
975,Introduction to Hybrid and Electric Vehicles,Electrical Engineering,IIT Guwahati
976,Embedded Systems,Electrical Engineering,IIT Kharagpur
977,Energy Resources & Technology,Electrical Engineering,IIT Kharagpur
978,Estimation of Signals and Systems,Electrical Engineering,IIT Kharagpur
979,Probability Foundations for Electrical Engineers,Electrical Engineering,IIT Madras
980,Illumination Engineering,Electrical Engineering,IIT Kharagpur
981,Analog Circuits,Electrical Engineering,IIT Madras
982,Illumination Engineering,Electrical Engineering,IIT Kharagpur
983,Introduction to Non Linear Dynamics,Electrical Engineering,IIT Madras
984,Industrial Automation and Control,Electrical Engineering,IIT Kharagpur
985,Industrial Automation and Control,Electrical Engineering,IIT Kharagpur
986,Industrial Instrumentation,Electrical Engineering,IIT Kharagpur
987,Electrical Distribution System Analysis,Electrical Engineering,IIT Roorkee
988,Networks Signals and Systems,Electrical Engineering,IIT Kharagpur
989,Introduction to Smart Grid,Electrical Engineering,IIT Roorkee
990,Power Electronics,Electrical Engineering,IIT Kharagpur
991,Facts Devices,Electrical Engineering,IIT Roorkee
992,Power System Analysis,Electrical Engineering,IIT Kharagpur
993,Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink,Electrical Engineering,IIT Roorkee
994,High Voltage Engineering,Electrical Engineering,IIT Kanpur
995,Intelligent Systems and Control,Electrical Engineering,IIT Kanpur
996,Control engineering,Electrical Engineering,IIT Madras
997,Power Systems Analysis,Electrical Engineering,IIT Kanpur
998,Sensors and Actuators,Electrical Engineering,IISc Bangalore
999,Power Systems Operation and Control,Electrical Engineering,IIT Kanpur
1000,Neural Networks for Signal Processing – I,Electrical Engineering,IISc Bangalore
1001,Computer Aided Power System Analysis,Electrical Engineering,IIT Roorkee
1002,Advance power electronics and Control,Electrical Engineering,IIT Roorkee
1003,CMOS Digital VLSI Design,Electrical Engineering,IIT Roorkee
1004,Probability Foundations for Electrical Engineers,Electrical Engineering,IIT Madras
1005,Electronics equipment integration and Prototype building,Electrical Engineering,IISc Bangalore
1006,Industrial Automation and Control(Course sponsored by Aricent),Electrical Engineering,IIT Kharagpur
1007,Medical Image Analysis,Electrical Engineering,IIT Kharagpur
1008,Microelectronics: Devices To Circuits,Electrical Engineering,IIT Roorkee
1009,Design and Simulation of Power conversion using open source tools,Electrical Engineering,IISc Bangalore
1010,Dc Microgrid and Control System,Electrical Engineering,IIT Roorkee
1011,Introductory Neuroscience & Neuro-Instrumentation,Electrical Engineering,IISc Bangalore
1012,Information Theory,Electrical Engineering,IISc Bangalore
1013,Nonlinear Dynamical Systems,Electrical Engineering,IIT Bombay
1014,Power System Dynamics and Control,Electrical Engineering,IIT Bombay
1015,Restructured Power Systems,Electrical Engineering,IIT Delhi
1016,Biomedical Signal Processing,Electrical Engineering,IIT Kharagpur
1017,Microprocessors And Microcontrollers,Electrical Engineering,IIT Kharagpur
1018,Photonic integrated circuit,Electrical Engineering,IISc Bangalore
1019,Deep Learning For Visual Computing,Electrical Engineering,IIT Kharagpur
1020,Power System Engineering,Electrical Engineering,IIT Kharagpur
1021,Design for internet of things,Electrical Engineering,IISc Bangalore
1022,Mathematical Aspects of Biomedical Electronic System Design,Electrical Engineering,IISc Bangalore
1023,Power Quality Improvement Technique,Electrical Engineering,IIT Roorkee
1024,Concentration inequalities,Electrical Engineering,IISc Bangalore
1025,Electromagnetic theory,Electrical Engineering,IIT Kanpur
1026,Introduction to Photonics,Electrical Engineering,IIT Madras
1027,Fundamentals of Electrical Engineering,Electrical Engineering,IIT Kharagpur
1028,Multirate DSP,Electrical Engineering,IIT Madras
1029,Digital Circuits,Electrical Engineering,IIT Kharagpur
1030,Real-Time Digital Signal Processing,Electrical Engineering,IISc Bangalore
1031,Circuit Theory,Electrical Engineering,IIT Delhi
1032,Analysis and Design Principles of Microwave Antennas,Electrical Engineering,IIT Kharagpur
1033,"Electromagnetic compatibility, EMC",Electrical Engineering,IIT Madras
1034,Control Engineering,Electrical Engineering,IIT Delhi
1035,Principles of Communication Systems - I,Electrical Engineering,IIT Kanpur
1036,Control Engineering,Electrical Engineering,IIT Delhi
1037,An Introduction to Coding Theory,Electrical Engineering,IIT Kanpur
1038,Embedded Systems,Electrical Engineering,IIT Delhi
1039,Industrial Drives,Electrical Engineering,IIT Delhi
1040,Architectural Design of Digital Integrated Circuits,Electrical Engineering,IIT Kharagpur
1041,"Power System Generation, Transmission and Distribution (Encapsulated from earlier Video)",Electrical Engineering,IIT Delhi
1042,Power System Protection and Switchgear,Electrical Engineering,IIT Roorkee
1043,Principles of Communication Systems: Part - II,Electrical Engineering,IIT Kanpur
1044,Applied Electromagnetics For Engineers,Electrical Engineering,IIT Kanpur
1045,Principles of Signals and Systems,Electrical Engineering,IIT Kanpur
1046,Mapping Signal Processing Algorithms to Architectures,Electrical Engineering,IIT Madras
1047,Linear Systems Theory,Electrical Engineering,IIT Madras
1048,Digital Signal Processing,Electrical Engineering,IIT Madras
1049,Computational Electromagnetics,Electrical Engineering,IIT Madras
1050,Electrical Machines - II,Electrical Engineering,IIT Kharagpur
1051,Digital Electronic Circuits,Electrical Engineering,IIT Kharagpur
1052,Control Engineering,Electrical Engineering,IIT Bombay
1053,"Power System Dynamics, Control and Monitoring",Electrical Engineering,IIT Kharagpur
1054,Transmission lines and electromagnetic waves,Electrical Engineering,IIT Madras
1055,Power Electronics,Electrical Engineering,IIT Bombay
